"Page_views","word_count","read_time","gender","pictures","type","clickbait_title"
31771,3714,12,"Male",3,"Entertainment","Yes"
26503,3625,12,"Male",2,"Entertainment","Yes"
14097,3275,11,"Female",0,"Entertainment","Maybe"
30120,3303,10,"Male",7,"Entertainment","Yes"
14203,4145,13,"Female",1,"News","Maybe"
10309,1542,5,"Male",1,"News","No"
25623,4186,12,"Male",4,"Entertainment","No"
11155,3366,11,"Male",1,"Entertainment","No"
28851,3586,12,"Female",1,"News","Yes"
20115,3919,13,"Male",0,"News","No"
11169,3512,11,"Male",1,"Entertainment","No"
28480,3297,11,"Female",0,"Entertainment","Maybe"
15590,3934,14,"Male",3,"Entertainment","No"
25853,3724,12,"Male",5,"News","Yes"
10139,2765,9,"Male",0,"News","No"
11715,3328,11,"Other",1,"News","Maybe"
14955,1408,5,"Male",1,"Entertainment","Maybe"
26737,2954,9,"Male",1,"Entertainment","Yes"
23102,4774,15,"Male",3,"News","Yes"
20080,4032,14,"Other",6,"News","No"
19953,2251,8,"Other",1,"Entertainment","No"
8830,2048,7,"Female",1,"Entertainment","Yes"
7823,2552,9,"Male",1,"Entertainment","No"
15965,2103,7,"Female",2,"Entertainment","Maybe"
5973,2273,9,"Female",0,"Entertainment","No"
8578,2259,7,"Male",4,"News","Yes"
19833,3778,12,"Female",0,"News","Yes"
15010,1598,6,"Female",2,"News","Maybe"
14531,2313,9,"Female",4,"News","Yes"
14938,3344,10,"Male",0,"Entertainment","No"
13613,4585,16,"Male",0,"Entertainment","No"
16643,2133,7,"Female",1,"Entertainment","Maybe"
22869,1393,5,"Male",0,"Entertainment","Yes"
26315,3757,13,"Female",2,"News","No"
25330,2189,7,"Male",0,"Entertainment","Yes"
13291,478,2,"Male",3,"Entertainment","Yes"
19804,3424,12,"Female",5,"Entertainment","Yes"
12813,2906,10,"Female",0,"Entertainment","No"
14548,1689,6,"Other",1,"News","Yes"
22123,3873,13,"Female",3,"News","No"
19241,3069,9,"Male",3,"Entertainment","Yes"
15577,2206,7,"Male",1,"Entertainment","Yes"
14461,3359,12,"Female",5,"Entertainment","Maybe"
26321,3090,10,"Female",3,"Entertainment","Yes"
17151,1923,7,"Female",1,"Entertainment","No"
11890,1188,4,"Male",2,"News","Yes"
11585,1939,6,"Male",3,"News","Maybe"
16631,2299,8,"Other",0,"News","No"
18386,1783,6,"Female",3,"Entertainment","Yes"
19222,3638,12,"Male",0,"Entertainment","Yes"
31539,3920,13,"Female",2,"Entertainment","Yes"
-350,2062,7,"Male",0,"Entertainment","No"
12028,3149,11,"Female",2,"Entertainment","No"
15436,3612,12,"Female",6,"News","Maybe"
7080,3231,10,"Male",0,"Entertainment","No"
17787,3191,10,"Male",4,"News","Yes"
23941,5317,17,"Male",2,"Entertainment","Yes"
19113,3080,10,"Female",2,"Entertainment","Yes"
6955,2835,10,"Male",2,"Entertainment","No"
5719,3738,12,"Female",1,"Entertainment","No"
9107,1827,7,"Male",2,"Entertainment","No"
19186,4482,14,"Male",1,"Entertainment","Yes"
11300,2124,7,"Male",0,"Entertainment","Yes"
12816,2153,8,"Female",1,"Entertainment","Yes"
19375,2374,8,"Male",1,"News","Yes"
25172,3397,10,"Male",1,"Entertainment","Maybe"
21119,1663,7,"Female",6,"Entertainment","Yes"
16930,3727,13,"Female",3,"Entertainment","No"
12033,1218,4,"Female",2,"Entertainment","No"
18847,1860,7,"Female",3,"Entertainment","Maybe"
17038,3978,12,"Female",4,"Entertainment","Yes"
27888,4852,17,"Male",0,"News","Yes"
19700,3143,11,"Male",2,"Entertainment","Maybe"
13740,3020,10,"Female",2,"Entertainment","No"
12928,3322,10,"Male",1,"Entertainment","Maybe"
20273,2631,10,"Female",2,"News","Maybe"
22214,3697,12,"Male",3,"News","No"
25959,3196,11,"Male",2,"Entertainment","Yes"
23259,2381,9,"Female",2,"Entertainment","Yes"
27282,4711,15,"Female",0,"News","No"
13558,1846,7,"Female",1,"News","No"
23663,1775,5,"Male",0,"Entertainment","Yes"
13369,2853,10,"Male",2,"Entertainment","Maybe"
26100,3783,11,"Female",1,"Entertainment","Yes"
25299,3681,12,"Male",1,"Entertainment","Maybe"
22404,3301,11,"Female",1,"News","No"
5687,2177,8,"Female",1,"Entertainment","No"
21724,3279,12,"Female",3,"News","No"
11567,3034,10,"Female",2,"Entertainment","Maybe"
12948,2450,8,"Other",1,"Entertainment","No"
13392,3329,11,"Male",3,"Entertainment","Yes"
8632,1012,4,"Male",0,"Entertainment","No"
10545,2885,9,"Male",5,"Entertainment","No"
26688,5574,17,"Female",1,"News","No"
17232,3320,10,"Male",2,"News","Yes"
12851,2841,9,"Male",1,"News","No"
21588,3903,12,"Male",3,"Entertainment","Yes"
20283,2444,8,"Female",2,"News","No"
17483,2214,7,"Female",1,"Entertainment","Yes"
19259,4437,14,"Male",3,"Entertainment","No"
24290,4165,15,"Female",3,"Entertainment","Yes"
10119,2597,9,"Female",5,"News","No"
17980,2334,9,"Female",3,"Entertainment","Yes"
11895,1499,5,"Male",1,"Entertainment","Maybe"
18359,3526,12,"Male",1,"News","Yes"
15821,2889,10,"Other",3,"Entertainment","Yes"
8028,2585,9,"Female",3,"Entertainment","No"
17935,2074,8,"Male",3,"News","Maybe"
22524,3537,11,"Female",2,"Entertainment","Yes"
12511,3169,10,"Male",3,"News","No"
19353,3795,12,"Female",1,"Entertainment","No"
14413,2437,8,"Male",2,"Entertainment","No"
16625,1646,6,"Male",2,"Entertainment","Yes"
